SID,PreAssn,PostAssnSess1,PostAssnSess2
1,0.986784140969163,0.991023339317774,0.997966101694915
2,0.991150442477876,0.999095022624434,0.989912575655683
3,1,0.998191681735985,0.993923024983119
4,0.953191489361702,0.946826758147513,0.926368785399622
5,0.991150442477876,0.967572304995618,0.985274431057564
6,0.986784140969163,0.976190476190476,0.967784352399737
7,1,0.985714285714286,0.991245791245791
8,0.986784140969163,0.991913746630728,0.985934360348292
9,0.973913043478261,0.980461811722913,0.988582941571524
10,0.933333333333333,0.997289972899729,0.994594594594595
11,0.978165938864629,0.970976253298153,0.985934360348292
12,0.995555555555556,0.987477638640429,0.991245791245791
13,0.978165938864629,0.9701230228471,0.974834437086093
14,0.995555555555556,0.999095022624434,0.997289972899729
15,1,0.996389891696751,0.991913746630728
16,0.986784140969163,0.983081032947462,0.986595174262735
17,0.995555555555556,0.999095022624434,0.999321113374066
18,1,0.991913746630728,0.995940460081191
19,0.973913043478261,0.994594594594595,0.991245791245791
20,0.995555555555556,0.9701230228471,0.978073089700997
